#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	count	string	count	count	count	count
1294225768.685427	ttJdGIPejc1	192.168.101.100	59618	72.163.128.140	53	udp	dns	-	-	-	S0	-	0	D	1	73	0	0
1294225768.685532	49tHdJzZHO5	192.168.101.100	59618	171.70.168.183	53	udp	dns	-	-	-	S0	-	0	D	1	73	0	0
1294225795.218270	HgX6W73hy1l	192.168.101.100	52530	72.163.128.140	53	udp	dns	7.999261	180	0	S0	-	0	D	4	292	0	0
1294225796.217669	GuBtdT242B6	192.168.101.100	52530	171.70.168.183	53	udp	dns	6.999972	135	0	S0	-	0	D	3	219	0	0
1294225814.720998	VD4TBB3P3Dl	192.168.101.100	55952	72.163.128.140	53	udp	dns	7.999465	180	0	S0	-	0	D	4	292	0	0
1294225815.720473	ETGKrtxaABf	192.168.101.100	55952	171.70.168.183	53	udp	dns	7.000112	135	0	S0	-	0	D	3	219	0	0
1294225849.253430	RTfXREFWkf	192.168.101.100	63612	72.163.128.140	53	udp	dns	8.000170	180	0	S0	-	0	D	4	292	0	0
1294225850.253583	bVAN4DIqJfd	192.168.101.100	63612	171.70.168.183	53	udp	dns	7.000124	135	0	S0	-	0	D	3	219	0	0
1294225868.757062	ceG2LsFT1U3	192.168.101.100	56925	72.163.128.140	53	udp	dns	8.001397	180	0	S0	-	0	D	4	292	0	0
1294225869.757622	12F1P0yABw8	192.168.101.100	56925	171.70.168.183	53	udp	dns	7.000938	135	0	S0	-	0	D	3	219	0	0
1294225903.291726	wc20sT1dFei	192.168.101.100	59305	72.163.128.140	53	udp	dns	7.999841	180	0	S0	-	0	D	4	292	0	0
1294225904.291586	R0wP4JvJKi9	192.168.101.100	59305	171.70.168.183	53	udp	dns	7.000087	135	0	S0	-	0	D	3	219	0	0
1294225923.926344	iVdpc2hyeX2	192.168.101.100	58666	72.163.128.140	53	udp	dns	8.020514	172	0	S0	-	0	D	4	284	0	0
